ticket_id,created_at,status,brand_id,group_id,assignee_id,tem_advanced_ia,tem_welcome
2851164,2026-07-19T19:34,open,28331414811547,,50032929128731,False,False
2851151,2026-07-19T19:32,open,28331414811547,,50032929128731,False,False
2851123,2026-07-19T19:29,open,28331414811547,,50032929128731,False,False
2851062,2026-07-19T19:20,open,28331414811547,,50032929128731,False,False
2850923,2026-07-19T19:03,open,28331414811547,,50032929128731,False,False
2850622,2026-07-19T18:35,open,28331414811547,,50032929128731,False,False
2850596,2026-07-19T18:33,open,28331414811547,,50032929128731,False,False
2850590,2026-07-19T18:32,open,28331414811547,,50032929128731,False,False
2850563,2026-07-19T18:29,open,28331414811547,,50032929128731,False,False
2850561,2026-07-19T18:29,open,28331414811547,,50032929128731,False,False
2850398,2026-07-19T18:15,open,28331414811547,,50032929128731,False,False
2850377,2026-07-19T18:12,open,28331414811547,,50032929128731,False,False
2850331,2026-07-19T18:08,open,28331414811547,,50032929128731,False,False
2850223,2026-07-19T17:57,open,28331414811547,,50032929128731,False,False
2850162,2026-07-19T17:48,open,28331414811547,,50032929128731,False,False
2849845,2026-07-19T17:04,open,28331414811547,,50032929128731,False,False
2849843,2026-07-19T17:04,open,28331414811547,,50032929128731,False,False
2849712,2026-07-19T16:43,open,28331414811547,,50032929128731,False,False
2849499,2026-07-19T16:10,open,28331414811547,,50032929128731,False,False
2849381,2026-07-19T15:48,open,28331414811547,,50032929128731,False,False
2849284,2026-07-19T15:26,open,28331414811547,,50032929128731,False,False
2849227,2026-07-19T15:15,open,28331414811547,,50032929128731,False,False
2849035,2026-07-19T14:36,open,28331414811547,,50032929128731,False,False
2848868,2026-07-19T13:52,open,28331414811547,,50032929128731,False,False
2848732,2026-07-19T13:10,open,28331414811547,,50032929128731,False,False
2848673,2026-07-19T12:47,open,28331414811547,,50032929128731,False,False
2848616,2026-07-19T12:27,open,28331414811547,,50032929128731,False,False
2848154,2026-07-19T05:19,open,28331414811547,,50032929128731,False,False
2848082,2026-07-19T04:14,open,28331414811547,,50032929128731,False,False
2847905,2026-07-19T02:29,open,28331414811547,,50032929128731,False,False
2847818,2026-07-19T01:51,open,28331414811547,,50032929128731,False,False
2847815,2026-07-19T01:50,open,28331414811547,,50032929128731,False,False
2847805,2026-07-19T01:46,open,28331414811547,,50032929128731,False,False
2847750,2026-07-19T01:21,open,28331414811547,,50032929128731,False,False
2847631,2026-07-19T00:36,open,28331414811547,,50032929128731,False,False
2847505,2026-07-18T23:57,open,28331414811547,,50032929128731,False,False
2847442,2026-07-18T23:40,open,28331414811547,,50032929128731,False,False
2847417,2026-07-18T23:32,open,28331414811547,,50032929128731,False,False
2847207,2026-07-18T22:57,open,28331414811547,,50032929128731,False,False
2847117,2026-07-18T22:34,open,28331414811547,,50032929128731,False,False
2847059,2026-07-18T22:17,open,28331414811547,,50032929128731,False,False
