ticket_id,created_at_utc,status
2700113,2026-06-18T19:01:56Z,closed
2700116,2026-06-18T19:14:11Z,closed
2700120,2026-06-18T18:50:02Z,closed
2700125,2026-06-18T18:50:50Z,closed
2700127,2026-06-18T18:51:04Z,closed
2700129,2026-06-18T18:51:20Z,closed
2700130,2026-06-18T19:01:45Z,closed
2700131,2026-06-18T19:08:48Z,closed
2700132,2026-06-18T18:53:10Z,closed
2700135,2026-06-18T18:59:44Z,closed
2700136,2026-06-18T18:55:22Z,closed
2700140,2026-06-18T18:56:21Z,closed
2700145,2026-06-18T18:58:41Z,closed
2700152,2026-06-18T18:56:35Z,closed
2700155,2026-06-18T19:15:37Z,closed
2700157,2026-06-18T19:00:06Z,closed
2700159,2026-06-18T18:59:46Z,closed
2700162,2026-06-18T18:58:48Z,closed
2700174,2026-06-18T19:15:27Z,closed
2700177,2026-06-18T19:15:11Z,closed
2700181,2026-06-18T19:09:38Z,closed
2700182,2026-06-18T19:20:43Z,closed
2700207,2026-06-18T19:08:11Z,closed
2700210,2026-06-18T19:21:59Z,closed
2700213,2026-06-18T19:09:08Z,closed
2700221,2026-06-18T19:11:57Z,closed
2700227,2026-06-18T19:27:46Z,closed
2700229,2026-06-18T19:26:40Z,closed
2700236,2026-06-18T19:15:45Z,closed
2700243,2026-06-18T19:30:35Z,closed
2700250,2026-06-18T19:17:34Z,closed
2700251,2026-06-18T19:20:15Z,closed
2700254,2026-06-18T19:21:37Z,closed
2700257,2026-06-18T19:30:49Z,closed
2700267,2026-06-18T19:24:16Z,closed
2700268,2026-06-18T19:23:41Z,closed
2700269,2026-06-18T19:21:13Z,closed
2700272,2026-06-18T19:22:18Z,closed
2700274,2026-06-18T19:38:19Z,closed
2700279,2026-06-18T19:23:23Z,closed
2700285,2026-06-18T19:38:20Z,closed
2700286,2026-06-18T19:24:32Z,closed
2700290,2026-06-18T19:25:43Z,closed
2700291,2026-06-18T19:51:14Z,closed
2700294,2026-06-18T19:27:02Z,closed
2700300,2026-06-18T19:37:54Z,closed
2700305,2026-06-18T19:43:32Z,closed
2700306,2026-06-18T19:32:26Z,closed
2700315,2026-06-18T19:32:23Z,closed
2700331,2026-06-18T19:56:24Z,closed
2700333,2026-06-18T19:59:01Z,closed
2700334,2026-06-18T19:35:14Z,closed
2700337,2026-06-18T19:35:27Z,closed
2700348,2026-06-18T19:38:17Z,closed
2700350,2026-06-18T19:53:03Z,closed
2700351,2026-06-18T19:39:29Z,closed
2700355,2026-06-18T19:40:23Z,closed
2700358,2026-06-18T19:42:01Z,closed
2700362,2026-06-18T19:56:52Z,closed
2700363,2026-06-18T19:57:01Z,closed
2700369,2026-06-18T19:58:50Z,closed
2700410,2026-06-18T19:57:21Z,closed
2700412,2026-06-18T20:10:57Z,closed
2700415,2026-06-18T20:00:22Z,closed
2700419,2026-06-18T20:00:48Z,closed
2700426,2026-06-18T20:01:45Z,closed
2700428,2026-06-18T20:03:05Z,closed
2700437,2026-06-18T20:15:39Z,closed
2700449,2026-06-18T20:17:56Z,closed
2700454,2026-06-18T20:07:03Z,closed
2700467,2026-06-18T20:20:42Z,closed
2700469,2026-06-18T20:08:33Z,closed
2700472,2026-06-18T20:09:07Z,closed
2700473,2026-06-18T20:25:03Z,closed
2700488,2026-06-18T20:12:14Z,closed
2700492,2026-06-18T20:29:08Z,closed
2700502,2026-06-18T20:15:26Z,closed
2700508,2026-06-18T20:17:39Z,closed
2700510,2026-06-18T20:16:57Z,closed
2700517,2026-06-18T20:18:35Z,closed
2700537,2026-06-18T20:28:09Z,closed
2700541,2026-06-18T20:27:07Z,closed
2700543,2026-06-18T20:32:12Z,closed
2700565,2026-06-18T20:47:59Z,closed
2700568,2026-06-18T20:44:01Z,closed
2700581,2026-06-18T20:46:05Z,closed
2700582,2026-06-18T20:33:02Z,closed
2700586,2026-06-18T20:33:25Z,closed
2700587,2026-06-18T20:35:01Z,closed
2700593,2026-06-18T20:48:32Z,closed
2700594,2026-06-18T20:48:44Z,closed
2700609,2026-06-18T20:38:28Z,closed
2700610,2026-06-18T20:41:02Z,closed
2700611,2026-06-18T20:53:05Z,closed
2700612,2026-06-18T20:53:38Z,closed
2700613,2026-06-18T20:41:17Z,closed
2700614,2026-06-18T20:51:36Z,closed
2700620,2026-06-18T20:55:00Z,closed
2700626,2026-06-18T20:43:08Z,closed
2700629,2026-06-18T21:01:41Z,closed
2700638,2026-06-18T20:45:46Z,closed
2700644,2026-06-18T20:48:12Z,closed
2700648,2026-06-18T20:57:38Z,closed
2700651,2026-06-18T20:51:27Z,closed
2700655,2026-06-18T21:07:02Z,closed
2700657,2026-06-18T20:57:38Z,closed
2700660,2026-06-18T21:06:56Z,closed
2700672,2026-06-18T20:58:00Z,closed
2700679,2026-06-18T21:00:50Z,closed
2700682,2026-06-18T20:58:15Z,closed
2700684,2026-06-18T21:00:18Z,closed
2700685,2026-06-18T21:04:05Z,closed
2700692,2026-06-18T21:00:26Z,closed
2700694,2026-06-18T21:27:11Z,closed
2700706,2026-06-18T21:16:50Z,closed
2700707,2026-06-18T21:03:47Z,closed
2700710,2026-06-18T21:08:51Z,closed
2700715,2026-06-18T21:20:18Z,closed
2700719,2026-06-18T21:04:47Z,closed
2700722,2026-06-18T21:17:45Z,closed
2700730,2026-06-18T21:05:28Z,closed
2700737,2026-06-18T21:20:36Z,closed
2700739,2026-06-18T21:05:38Z,closed
2700744,2026-06-18T21:08:07Z,closed
2700750,2026-06-18T21:22:54Z,closed
2700752,2026-06-18T21:24:52Z,closed
2700755,2026-06-18T21:07:02Z,closed
2700758,2026-06-18T21:07:56Z,closed
2700763,2026-06-18T21:06:38Z,closed
2700767,2026-06-18T21:08:10Z,closed
2700768,2026-06-18T21:25:00Z,closed
2700770,2026-06-18T21:13:46Z,closed
2700772,2026-06-18T21:10:14Z,closed
2700774,2026-06-18T21:08:48Z,closed
2700784,2026-06-18T21:25:12Z,closed
2700788,2026-06-18T21:09:40Z,closed
2700794,2026-06-18T21:10:20Z,closed
2700795,2026-06-18T21:10:23Z,closed
2700799,2026-06-18T21:11:14Z,closed
2700802,2026-06-18T21:10:54Z,closed
2700805,2026-06-18T21:26:02Z,closed
2700812,2026-06-18T21:13:47Z,closed
2700814,2026-06-18T21:12:34Z,closed
2700816,2026-06-18T21:18:07Z,closed
2700825,2026-06-18T21:18:21Z,closed
2700829,2026-06-18T21:25:26Z,closed
2700834,2026-06-18T21:29:59Z,closed
2700841,2026-06-18T21:32:30Z,closed
2700850,2026-06-18T21:19:20Z,closed
2700860,2026-06-18T21:19:44Z,closed
2700861,2026-06-18T21:30:24Z,closed
2700863,2026-06-18T21:21:56Z,closed
2700866,2026-06-18T21:35:10Z,closed
2700869,2026-06-18T21:28:47Z,closed
2700874,2026-06-18T21:23:08Z,closed
2700875,2026-06-18T21:29:01Z,closed
2700878,2026-06-18T21:23:34Z,closed
2700879,2026-06-18T21:25:14Z,closed
2700880,2026-06-18T21:23:23Z,closed
2700885,2026-06-18T21:23:57Z,closed
2700891,2026-06-18T21:24:59Z,closed
2700892,2026-06-18T21:28:36Z,closed
2700896,2026-06-18T21:27:43Z,closed
2700899,2026-06-18T21:40:58Z,closed
2700903,2026-06-18T21:40:11Z,closed
2700905,2026-06-18T21:29:00Z,closed
2700906,2026-06-18T21:27:55Z,closed
2700907,2026-06-18T21:40:34Z,closed
2700910,2026-06-18T21:27:28Z,closed
2700915,2026-06-18T21:42:26Z,closed
2700918,2026-06-18T21:29:00Z,closed
2700919,2026-06-18T21:30:23Z,closed
2700920,2026-06-18T21:43:00Z,closed
2700931,2026-06-18T21:31:25Z,closed
2700939,2026-06-18T21:46:13Z,closed
2700946,2026-06-18T21:34:30Z,closed
2700950,2026-06-18T21:48:41Z,closed
2700952,2026-06-18T21:35:09Z,closed
2700956,2026-06-18T21:48:53Z,closed
2700962,2026-06-18T21:49:17Z,closed
2700966,2026-06-18T21:39:26Z,closed
2700973,2026-06-18T21:39:07Z,closed
2700982,2026-06-18T21:49:57Z,closed
2700988,2026-06-18T21:41:52Z,closed
2700989,2026-06-18T21:42:44Z,closed
2700990,2026-06-18T21:42:47Z,closed
2700996,2026-06-18T21:43:36Z,closed
2700999,2026-06-18T21:42:03Z,closed
2701009,2026-06-18T21:48:13Z,closed
2701013,2026-06-18T21:58:02Z,closed
2701014,2026-06-18T21:58:01Z,closed
2701018,2026-06-18T21:47:26Z,closed
2701020,2026-06-18T21:47:41Z,closed
2701024,2026-06-18T21:45:40Z,closed
2701037,2026-06-18T22:16:38Z,closed
2701040,2026-06-18T22:04:20Z,closed
2701042,2026-06-18T22:03:13Z,closed
2701043,2026-06-18T21:51:25Z,closed
2701049,2026-06-18T21:52:13Z,closed
2701053,2026-06-18T21:56:07Z,closed
2701068,2026-06-18T21:55:52Z,closed
2701069,2026-06-18T22:14:41Z,closed
2701072,2026-06-18T22:08:13Z,closed
2701073,2026-06-18T22:11:36Z,closed
2701083,2026-06-18T22:10:39Z,closed
2701087,2026-06-18T21:57:04Z,closed
2701099,2026-06-18T22:01:16Z,closed
2701101,2026-06-18T21:59:35Z,closed
2701102,2026-06-18T22:04:34Z,closed
2701122,2026-06-18T22:06:47Z,closed
2701127,2026-06-18T22:07:12Z,closed
2701128,2026-06-18T22:03:18Z,closed
2701135,2026-06-18T22:03:29Z,closed
2701137,2026-06-18T22:06:23Z,closed
2701144,2026-06-18T22:04:29Z,closed
2701148,2026-06-18T22:06:57Z,closed
2701152,2026-06-18T22:08:03Z,closed
2701155,2026-06-18T22:07:47Z,closed
2701157,2026-06-18T22:20:19Z,closed
2701161,2026-06-18T22:22:47Z,closed
2701163,2026-06-18T22:22:01Z,closed
2701164,2026-06-18T22:09:41Z,closed
2701165,2026-06-18T22:23:54Z,closed
2701174,2026-06-18T22:12:42Z,closed
2701185,2026-06-18T22:25:50Z,closed
2701186,2026-06-18T22:38:02Z,closed
2701188,2026-06-18T22:16:37Z,closed
2701193,2026-06-18T22:32:30Z,closed
2701202,2026-06-18T22:15:12Z,closed
2701203,2026-06-18T22:15:42Z,closed
2701212,2026-06-18T22:16:52Z,closed
2701214,2026-06-18T22:16:59Z,closed
2701217,2026-06-18T22:19:04Z,closed
2701221,2026-06-18T22:17:10Z,closed
2701224,2026-06-18T22:19:21Z,closed
2701226,2026-06-18T22:33:58Z,closed
2701228,2026-06-18T22:34:22Z,closed
2701241,2026-06-18T22:34:57Z,closed
2701248,2026-06-18T22:23:03Z,closed
2701252,2026-06-18T22:36:43Z,closed
2701259,2026-06-18T22:25:06Z,closed
2701266,2026-06-18T22:30:13Z,closed
2701269,2026-06-18T22:39:34Z,closed
2701277,2026-06-18T22:34:26Z,closed
2701280,2026-06-18T22:41:31Z,closed
2701282,2026-06-18T22:29:32Z,closed
2701283,2026-06-18T22:27:59Z,closed
2701288,2026-06-18T22:30:58Z,closed
2701306,2026-06-18T22:32:48Z,closed
2701308,2026-06-18T22:32:28Z,closed
2701313,2026-06-18T22:52:36Z,closed
2701315,2026-06-18T22:46:31Z,closed
2701323,2026-06-18T22:50:17Z,closed
2701324,2026-06-18T22:33:32Z,closed
2701325,2026-06-18T22:51:12Z,closed
2701326,2026-06-18T22:40:58Z,closed
2701327,2026-06-18T22:52:15Z,closed
2701331,2026-06-18T22:35:42Z,closed
2701332,2026-06-18T22:35:53Z,closed
2701343,2026-06-18T22:52:16Z,closed
2701346,2026-06-18T22:42:46Z,closed
2701368,2026-06-18T22:42:44Z,closed
2701376,2026-06-18T22:44:25Z,closed
2701378,2026-06-18T22:58:52Z,closed
2701384,2026-06-18T22:49:17Z,closed
2701386,2026-06-18T22:47:13Z,closed
2701388,2026-06-18T23:02:13Z,closed
2701399,2026-06-18T22:49:09Z,closed
2701403,2026-06-18T22:49:51Z,closed
2701404,2026-06-18T23:03:00Z,closed
2701408,2026-06-18T22:51:11Z,closed
2701411,2026-06-18T22:51:49Z,closed
2701415,2026-06-18T23:06:08Z,closed
2701418,2026-06-18T22:53:14Z,closed
2701421,2026-06-18T22:53:35Z,closed
2701422,2026-06-18T22:57:27Z,closed
2701443,2026-06-18T23:12:51Z,closed
2701461,2026-06-18T23:00:48Z,closed
2701462,2026-06-18T23:01:33Z,closed
2701463,2026-06-18T23:19:21Z,closed
2701465,2026-06-18T23:02:30Z,closed
2701467,2026-06-18T23:02:44Z,closed
2701468,2026-06-18T23:16:45Z,closed
2701475,2026-06-18T23:14:13Z,closed
2701478,2026-06-18T23:05:09Z,closed
2701497,2026-06-18T23:07:42Z,closed
2701507,2026-06-18T23:08:51Z,closed
2701513,2026-06-18T23:10:15Z,closed
2701525,2026-06-18T23:14:01Z,closed
2701526,2026-06-18T23:12:37Z,closed
2701527,2026-06-18T23:14:34Z,closed
2701529,2026-06-18T23:12:34Z,closed
2701533,2026-06-18T23:14:48Z,closed
2701536,2026-06-18T23:18:22Z,closed
2701544,2026-06-18T23:30:16Z,closed
2701545,2026-06-18T23:17:39Z,closed
2701553,2026-06-18T23:31:20Z,closed
2701555,2026-06-18T23:27:14Z,closed
2701563,2026-06-18T23:20:39Z,closed
2701568,2026-06-18T23:37:12Z,closed
2701570,2026-06-18T23:23:54Z,closed
2701571,2026-06-18T23:21:24Z,closed
2701576,2026-06-18T23:36:43Z,closed
2701583,2026-06-18T23:22:44Z,closed
2701584,2026-06-18T23:23:33Z,closed
2701587,2026-06-18T23:37:41Z,closed
2701591,2026-06-18T23:25:08Z,closed
2701596,2026-06-18T23:40:33Z,closed
2701604,2026-06-18T23:28:04Z,closed
2701611,2026-06-18T23:29:31Z,closed
